agricultrendspricechangeregression.country,agricultrendspricechangeregression.crop,agricultrendspricechangeregression.coefficient,agricultrendspricechangeregression.intercept
Morocco,String beans,1.217131584201469E-6,2.1228065894645325E-5
Trinidad and Tobago,Mangoes mangosteens guavas,-6.549768987118611E-8,3.520500830576253E-6
Indonesia,Avocados,4.393820198906412E-5,2.1567397102372193E-4
Cyprus,Lentils,1.1772835124057641E-4,1.707740687728405E-4
Republic of Korea,Onions dry,-3.669120292075579E-4,4.8441333117447315E-4
Ethiopia,Peas dry,-4.803851984087818E-6,6.429299040705361E-4
Burundi,Sorghum,2.792305704105623E-5,3.2278309369303916E-4
Belize,Sugar cane,7.038328834115822E-6,5.046026663745204E-5
Guinea-Bissau,Oranges,0.0,0.0
China,Rubber natural,2.545415384869776E-6,5.2677240733835986E-5
Republic of Moldova,Sugar beet,-1.4109705305832811E-5,2.7267418806789306E-5
United States of America,Apples,-3.2520595014281566E-5,1.6331169501537568E-4
Mexico,Beans dry,5.5079084997844584E-5,6.166544392675436E-4
Lao People's Democratic Republic,Chillies and peppers green,-4.981364395281337E-7,5.38513127928317E-6
Colombia,Cabbages and other brassicas,-6.683555715880713E-5,3.5821708804568536E-4
Mexico,Vegetables fresh nes,1.1084219815784667E-4,6.973730956652468E-4
Ethiopia,Groundnuts with shell,3.584021048039309E-5,9.506890521713166E-5
Slovenia,Cherries sour,-4.562452264701288E-5,1.2607214574798404E-4
Fiji,Papayas,-2.0894860619779195E-4,9.617994424707265E-5
Canada,Mustard seed,6.748773711662728E-5,2.0675768115835228E-4
Czechia,Barley,8.04048432464636E-6,5.456009655180049E-5
Poland,Flax fibre and tow,7.189070812761974E-5,2.9180973290823976E-4
Kenya,Cassava,-2.5890733676071456E-5,1.8586980021557075E-4
Burundi,Seed cotton,7.048900298491222E-6,2.0903816571838946E-4
Spain,Sorghum,-4.232286324711239E-5,3.3816360526605553E-4
Luxembourg,Tomatoes,-6.488436078654092E-8,1.9299907217797725E-6
Jamaica,Chillies and peppers dry,2.0342042646060525E-4,5.106575345131422E-4
Russian Federation,Grapes,2.144220538214332E-6,1.7058305175647799E-4
Iran (Islamic Republic of),Tomatoes,1.230299426052981E-5,5.217252169961825E-4
Thailand,Castor oil seed,-1.215669367898059E-5,1.5236307014960995E-4
Egypt,Okra,1.5235042542375327E-6,1.548616552253346E-4
Albania,Oats,2.4962241348105093E-6,1.4907248451890632E-4
Mali,Sugar cane,-1.822799591729026E-6,5.9254504890362766E-5
Bulgaria,Hemp tow waste,9.07536558244335E-6,1.9880338790819068E-5
Cyprus,Strawberries,3.0822425726786468E-6,2.783169979407451E-4
Latvia,Buckwheat,3.559932380720869E-5,1.3103131796278827E-4
France,Eggplants aubergines,-9.549944537890535E-6,1.2970506405220753E-4
Peru,Apples,1.682706454221531E-5,2.117940148788285E-5
United States of America,Fruit fresh nes,-1.0948578296248278E-4,3.637884516042383E-4
Croatia,Plums and sloes,-2.1866441206337192E-5,1.0450197769987671E-4
Norway,Wheat,1.3852469473644141E-5,5.1140350419371744E-5
Israel,Oilseeds nes,7.549015966626068E-5,6.277076255836216E-4
Malta,Vegetables fresh nes,-4.052079816643282E-6,4.607102448035864E-4
Colombia,Garlic,3.197829784735916E-6,5.6596087090213443E-5
Chile,Tomatoes,3.1384160600382564E-5,3.0181332816955236E-4
Italy,Peaches and nectarines,-2.1105837686964972E-5,2.742119581947915E-4
Israel,Watermelons,-1.5078588577417624E-5,7.958261673802073E-4
Serbia,Watermelons,-2.4230759447265918E-6,1.8511368064603067E-5
South Africa,Apricots,3.888539263773112E-5,2.4761982647887164E-4
Italy,Olives,2.7412315854682007E-5,1.62961829449994E-4
Poland,Cauliflowers and broccoli,1.4252866307090258E-5,6.059196631254269E-5
Trinidad and Tobago,Sugar cane,-1.5698928387007904E-6,1.846152911525974E-4
Bolivia (Plurinational State of),Figs,8.875885104537291E-7,6.897238428062313E-5
Luxembourg,Grapes,-5.127415797901185E-6,1.2046135123443452E-5
Mozambique,Castor oil seed,-6.273306947433318E-6,1.0605898336284052E-4
Japan,Yams,4.8080022009936185E-5,3.744060052473476E-4
Nicaragua,Beans dry,1.4440869586759217E-5,3.173213336452788E-4
Germany,Walnuts with shell,-1.791929912491876E-4,6.252091947783757E-5
Nigeria,Mangoes mangosteens guavas,4.0995632849185696E-7,1.4924932107483715E-5
Lithuania,Onions dry,-1.1560253080091815E-4,1.0240377115618043E-4
Portugal,Garlic,5.600331778464038E-6,2.351686446260002E-4
Peru,Maize,1.5778662329926968E-5,5.924085303929565E-4
Mexico,Sugar beet,1.1878645863492752E-4,2.826978522999526E-4
Indonesia,Pulses nes,-4.460954358112199E-6,1.6535331994974508E-4
Switzerland,Vegetables fresh nes,-1.1658819407578469E-5,1.0182029206483903E-4
Pakistan,Linseed,4.599601934746742E-6,1.4200361468913578E-4
Sri Lanka,Tea,4.4422246029121635E-7,2.1567121636323483E-4
United States of America,Hazelnuts with shell,-6.0970659877472245E-5,1.4527655088345282E-4
Jordan,Eggplants aubergines,-6.43555082302865E-5,2.856200388638503E-4
Kyrgyzstan,Tobacco unmanufactured,4.295093171912423E-5,6.399885841346779E-4
Latvia,Currants,-6.018728138552569E-6,1.0630779690025082E-4
Argentina,Cereals nes,-1.4206087159733859E-6,7.089735592485783E-5
Bolivia (Plurinational State of),Cereals nes,-3.835014239424356E-5,1.7788237541753934E-4
Iran (Islamic Republic of),Sesame seed,9.934276634386487E-5,5.01485501158524E-4
Guyana,Cucumbers and gherkins,2.005725901952051E-5,6.108693694266311E-5
Mali,Potatoes,3.6774549057874456E-6,3.46713379548224E-6
Venezuela (Bolivarian Republic of),Rice paddy,2.583388722028431E-5,5.074211963783102E-4
Kyrgyzstan,Rye,3.8277644910436056E-8,7.54618237990598E-5
France,Chillies and peppers green,-3.834843923189556E-6,1.5745286668144502E-4
Mexico,Tomatoes,-5.039789411968368E-5,2.1284040591040704E-4
Spain,Potatoes,-2.46427710478534E-5,2.391961656490214E-4
Lithuania,Peas dry,1.9431403133576403E-6,6.343955034762784E-5
Bolivia (Plurinational State of),Cocoa beans,8.903730670893897E-6,3.004935578391206E-4
Mexico,String beans,9.22792342763167E-4,0.0013930727333844367
Lebanon,Avocados,4.935249172274966E-6,-5.178493236441879E-6
Bulgaria,Pears,6.041039325704849E-5,6.963141079159073E-4
Republic of Moldova,Cucumbers and gherkins,-1.6610008571086456E-5,1.0590041467706485E-4
Mali,Tobacco unmanufactured,-2.406689662093214E-5,9.527527346636217E-5
El Salvador,Seed cotton,-1.1150407450824072E-4,3.059910957469447E-4
Tunisia,Vegetables fresh nes,-1.724311954396843E-5,1.3077481970185897E-4
Malta,Berries nes,-3.899990249837306E-7,3.103755395951559E-4
Belize,Watermelons,0.0,0.0
Afghanistan,Oranges,-7.29253346177707E-6,3.3752092117017227E-4
Peru,Walnuts with shell,1.151519546392617E-5,2.0710696182648927E-5
Denmark,Pears,-1.2496503064276127E-5,1.00951884661767E-4
Jordan,Melons other inc.cantaloupes,-1.9646968590823423E-6,1.0784472333541813E-4
Saint Vincent and the Grenadines,Chillies and peppers green,-1.9022221839302697E-6,2.6584809085785006E-4
South Africa,Cherries,3.786864585759273E-5,5.056442899714168E-4
Slovakia,Cherries,-8.28375902688728E-6,5.639693759302106E-5
Paraguay,Mangoes mangosteens guavas,1.9966911571500414E-5,1.1537754495311776E-6
South Africa,Potatoes,-1.9755355299156995E-5,3.496477484292833E-4
Romania,Currants,-1.5871693707353897E-5,4.079876264740009E-5
Dominican Republic,Sugar cane,-5.271152568133364E-6,4.2376508724370954E-4
Trinidad and Tobago,Tomatoes,-6.591389881496656E-5,2.304763126585013E-4
Uruguay,Beans dry,5.979779211086079E-6,1.5655860921278604E-4
Chile,Maize green,-3.0488459177594162E-6,6.512721729788608E-5
Rwanda,Spices nes,6.785981731370328E-6,0.0011348802173031722
Turkey,Pistachios,6.746403657095334E-4,9.213533756615664E-4
Luxembourg,Rye,4.1132852305210413E-7,1.608635053288647E-4
Cabo Verde,Cassava,2.1373290012533013E-6,1.5357127135027322E-4
Bangladesh,Fibre crops nes,9.426147825069747E-6,1.6552715001626086E-4
Spain,Grapes,2.2459583039138287E-5,1.405375925894036E-4
Syrian Arab Republic,Vegetables leguminous nes,-3.954110353428215E-6,1.306860639218262E-4
Eritrea,Peas dry,4.988771022777776E-5,7.980311162956598E-5
Belgium,Barley,-1.5331370867575263E-4,8.796645180482417E-4
Morocco,Lentils,-1.0578820889051575E-4,2.185069807020724E-4
Morocco,Oats,-7.750785602497459E-6,2.740912567573112E-4
Honduras,Melons other inc.cantaloupes,7.411889000296234E-5,2.575235786560173E-4
Bolivia (Plurinational State of),Beans dry,-9.83285760261154E-6,6.833004145576591E-4
Iran (Islamic Republic of),Leeks other alliaceous vegetables,-9.330211667498243E-5,1.9814501817434034E-4
Mauritius,Potatoes,1.1263580085481204E-6,2.0975850691854744E-4
Portugal,Hazelnuts with shell,2.8349150319029477E-5,4.5325783284140846E-4
Trinidad and Tobago,Cow peas dry,0.0,-5.626912033857106E-6
Luxembourg,Plums and sloes,1.0592549792252098E-6,-9.198405714849023E-6
Lao People's Democratic Republic,Fruit stone nes,3.029404168321458E-5,2.2361960524493806E-4
Bulgaria,Cucumbers and gherkins,2.2098471052414473E-6,1.1672805014382014E-4
Kenya,Pineapples,-3.40305149333434E-7,2.5188741194318606E-4
Cambodia,Pineapples,5.331859272446893E-6,9.649754729082416E-5
Brazil,Oats,1.2574038729156565E-4,4.232103111793366E-4
Turkey,Nuts nes,8.424121586753924E-5,1.3072447129043103E-4
Tunisia,Cherries,-1.4325598157025728E-6,2.38114957167787E-5
Gambia,Maize,-3.514508623042541E-7,6.64333056003809E-4
Botswana,Pulses nes,-2.737276547659171E-6,1.3063812316560747E-4
Mexico,Chick peas,-1.7686861987531398E-6,6.0401635324431214E-5
Niger,Garlic,-1.670239428279419E-5,3.754205107192308E-5
Togo,Rice paddy,4.237999655943537E-6,6.0872353476735474E-5
Guyana,Cabbages and other brassicas,1.4208249572511665E-7,7.145413989524706E-5
Australia,Strawberries,-2.2531663376775413E-6,1.2942646892362476E-4
Lebanon,Beans dry,2.1152228542686981E-4,2.4811776989908796E-4
Belgium,Onions dry,2.2587856389766134E-6,7.794749688151414E-5
Bangladesh,Chick peas,1.8983280312827394E-5,2.487869892816247E-4
Ukraine,Onions dry,-2.227742151182559E-5,1.3947854281564466E-4
Sweden,Sugar beet,9.415082742656651E-6,4.8896849104507816E-5
Viet Nam,Cauliflowers and broccoli,5.840574587637675E-6,4.900798898539818E-5
China,Groundnuts with shell,1.307411015878512E-4,0.0010576177751954379
New Zealand,Avocados,2.538891522151301E-5,2.518521541098743E-5
Bangladesh,Pulses nes,7.255500515506224E-6,3.151453733990041E-4
Thailand,Mangoes mangosteens guavas,6.4408555410272E-5,1.5589194503247671E-4
Myanmar,Peas dry,2.3091876455049352E-6,4.757697982735867E-4
Guyana,Avocados,-2.062051239199614E-6,-1.4550529101172465E-5
Azerbaijan,Lemons and limes,-2.043964837330817E-5,-3.0845943833412224E-5
Bangladesh,Vegetables fresh nes,1.3502025622701925E-5,2.888986936266795E-4
India,Tobacco unmanufactured,1.6136711665450565E-5,2.5221060934779103E-4
Zimbabwe,Pulses nes,4.20291429001339E-5,2.0469696675526631E-4
C�te d'Ivoire,Maize,2.0116357785906864E-6,1.7848293056921445E-4
Lao People's Democratic Republic,Ramie,1.5689993492878447E-6,1.7017827275627858E-4
Chile,Carrots and turnips,-5.019247983936426E-6,1.1179005389299765E-4
Italy,Lentils,3.8345766247758345E-5,1.859868231071484E-4
Mozambique,Bastfibres other,-3.4597167588968983E-6,1.2871861219394319E-4
Bolivia (Plurinational State of),Soybeans,3.342366084359276E-4,4.599262562633596E-4
Philippines,Papayas,1.0196460999268192E-5,2.950477918165147E-4
