agricultrendsyieldheatmap.crop,agricultrendsyieldheatmap.roundprecipitation,agricultrendsyieldheatmap.roundtemperature,agricultrendsyieldheatmap.yieldsum,agricultrendsyieldheatmap.yieldrecordnum,agricultrendsyieldheatmap.yieldavg
Oilcrops Oil Equivalent,70,12,124416.0,25,4976.64
Plums and sloes,50,7,5173795.0,61,84816.31147540984
Apples,0,22,8728402.0,79,110486.10126582278
Pulses Total,170,24,234778.0,31,7573.4838709677415
Coffee green,50,24,110337.0,17,6490.411764705882
Grapes,50,21,2581935.0,31,83288.2258064516
Pumpkins squash and gourds,50,21,2058987.0,17,121116.88235294117
Potatoes,20,17,5144055.0,38,135369.86842105264
Onions shallots green,160,25,554780.0,7,79254.28571428571
Lettuce and chicory,10,24,1432076.0,27,53039.851851851854
Sunflower seed,150,25,147692.0,13,11360.923076923076
Pulses Total,230,26,173110.0,15,11540.666666666666
Sorghum,0,23,1824728.0,39,46787.89743589744
Apples,50,5,80115.0,3,26705.0
Vegetables Primary,90,27,4615226.0,69,66887.33333333333
Lemons and limes,240,26,129689.0,3,43229.666666666664
Plums and sloes,10,17,1652959.0,29,56998.58620689655
Tomatoes,180,25,5063622.0,45,112524.93333333333
Hempseed,40,10,125563.0,39,3219.5641025641025
Sunflower seed,60,7,284621.0,21,13553.380952380952
Sugar beet,60,8,2.0185778E7,42,480613.7619047619
Beans dry,60,8,560455.0,33,16983.484848484848
Grapefruit inc. pomelos,40,6,1753936.0,28,62640.57142857143
Cocoa beans,220,24,198099.0,34,5826.441176470588
Watermelons,150,23,975052.0,10,97505.2
Onions dry,150,11,1148118.0,3,382706.0
Fruit tropical fresh nes,170,25,2996683.0,36,83241.19444444444
Vegetables Primary,30,11,2941990.0,22,133726.81818181818
Citrus Fruit Total,110,28,88322.0,1,88322.0
Beans dry,120,20,90006.0,9,10000.666666666666
Leeks other alliaceous vegetables,120,20,571848.0,4,142962.0
Oats,30,18,464353.0,37,12550.081081081082
Vegetables fresh nes,70,27,2666947.0,32,83342.09375
Lentils,50,11,255677.0,20,12783.85
Melonseed,110,23,10028.0,2,5014.0
Sugar beet,40,14,1.3315814E7,23,578948.4347826086
Avocados,180,23,765665.0,9,85073.88888888889
Nuts nes,160,26,99735.0,7,14247.857142857143
Dates,10,18,1503045.0,31,48485.32258064516
Papayas,10,18,1357424.0,17,79848.4705882353
Cabbages and other brassicas,10,18,9586755.0,37,259101.48648648648
Beans dry,40,11,397466.0,33,12044.424242424242
Grapes,40,11,1672311.0,33,50676.09090909091
Eggplants aubergines,40,11,6982070.0,32,218189.6875
Vegetables fresh nes,40,11,3128653.0,29,107884.58620689655
Maize,40,11,1174085.0,33,35578.333333333336
Lettuce and chicory,280,26,266435.0,4,66608.75
Pulses nes,260,25,244193.0,36,6783.138888888889
Raspberries,40,21,711257.0,20,35562.85
Treenuts Total,60,7,241158.0,14,17225.571428571428
Sorghum,100,24,392018.0,27,14519.185185185184
Sesame seed,130,24,232250.0,52,4466.346153846154
Garlic,130,24,1134258.0,9,126028.66666666667
Peas dry,60,13,257502.0,15,17166.8
Onions dry,60,13,2552560.0,9,283617.77777777775
Millet,0,22,300724.0,27,11137.925925925925
Pyrethrum dried,280,25,28932.0,6,4822.0
Seed cotton,80,6,145914.0,10,14591.4
Triticale,70,10,1107675.0,21,52746.42857142857
Strawberries,70,12,3009318.0,20,150465.9
Fruit stone nes,130,10,2853038.0,21,135858.95238095237
Pulses Total,60,20,135345.0,23,5884.565217391304
Garlic,160,10,54730.0,1,54730.0
Vegetables leguminous nes,10,21,1503741.0,25,60149.64
Fruit citrus nes,80,27,342874.0,8,42859.25
Fibre Crops Primary,80,26,36077.0,19,1898.7894736842106
Chillies and peppers green,190,20,37500.0,1,37500.0
Roots and tubers nes,140,26,3800198.0,35,108577.08571428571
Nutmeg mace and cardamoms,100,23,16212.0,6,2702.0
Garlic,70,13,522140.0,6,87023.33333333333
Pears,30,2,122246.0,5,24449.2
Oilseeds nes,160,25,11783.0,3,3927.6666666666665
Rice paddy,30,11,659634.0,17,38802.0
Oilcrops Cake Equivalent,30,-8,190992.0,25,7639.68
Bambara beans,70,27,36595.0,4,9148.75
Cereals nes,20,16,5788.0,1,5788.0
Fruit fresh nes,70,28,583127.0,12,48593.916666666664
Fruit fresh nes,120,5,671840.0,8,83980.0
Seed cotton,20,26,201249.0,43,4680.209302325581
Carrots and turnips,60,3,1131062.0,2,565531.0
Pulses Total,90,25,143155.0,19,7534.473684210527
Cereals Total,20,1,55749.0,3,18583.0
Lentils,60,16,65843.0,5,13168.6
Beans green,130,27,283392.0,6,47232.0
Onions dry,130,27,784734.0,7,112104.85714285714
Cabbages and other brassicas,20,-1,420435.0,3,140145.0
Peas dry,30,8,139803.0,10,13980.3
Sesame seed,0,21,73056.0,7,10436.57142857143
Raspberries,90,1,346097.0,6,57682.833333333336
Lemons and limes,150,28,158333.0,2,79166.5
Lentils,60,24,49156.0,5,9831.2
Coconuts,220,26,782113.0,21,37243.47619047619
Beans dry,220,26,157930.0,10,15793.0
Bastfibres other,30,-5,184660.0,6,30776.666666666668
Chicory roots,50,13,2002702.0,10,200270.2
Apricots,80,23,328864.0,11,29896.727272727272
Millet,0,24,239924.0,25,9596.96
Berries nes,120,8,58163.0,1,58163.0
Seed cotton,30,12,127419.0,8,15927.375
Chillies and peppers dry,200,24,119570.0,6,19928.333333333332
Citrus Fruit Total,100,25,3403675.0,29,117368.10344827586
Pulses nes,70,23,71175.0,16,4448.4375
Pepper piper spp.,250,26,126681.0,13,9744.692307692309
Mangoes mangosteens guavas,150,21,608051.0,4,152012.75
Oranges,80,16,304547.0,3,101515.66666666667
Oilcrops Oil Equivalent,80,16,9060.0,4,2265.0
Tangerines mandarins clementines satsumas,80,16,294704.0,3,98234.66666666667
Cereals Total,90,7,520956.0,10,52095.6
Grapes,80,9,278956.0,3,92985.33333333333
Beans green,90,15,113056.0,1,113056.0
Mustard seed,40,12,11488.0,3,3829.3333333333335
Apricots,140,22,93773.0,2,46886.5
Carobs,30,15,80259.0,3,26753.0
Chillies and peppers green,30,9,468969.0,5,93793.8
Rapeseed,260,25,6967.0,1,6967.0
Roots and Tubers Total,80,7,945999.0,6,157666.5
Okra,150,26,498125.0,6,83020.83333333333
Coconuts,180,22,755901.0,12,62991.75
Walnuts with shell,140,25,151971.0,10,15197.1
Sunflower seed,30,14,78137.0,5,15627.4
Sugar cane,130,20,5292257.0,4,1323064.25
Watermelons,150,12,1614049.0,5,322809.8
Millet,130,12,85487.0,8,10685.875
Nuts nes,260,26,45166.0,5,9033.2
Vanilla,100,26,3770.0,1,3770.0
Pears,130,23,47141.0,3,15713.666666666666
Beans dry,90,25,56778.0,10,5677.8
Fonio,60,29,20122.0,3,6707.333333333333
Fibre Crops Primary,130,28,49320.0,1,49320.0
Garlic,40,8,1267001.0,20,63350.05
Carrots and turnips,150,23,151129.0,1,151129.0
Oilseeds nes,130,10,14484.0,3,4828.0
Vegetables Primary,80,13,570607.0,4,142651.75
Vegetables fresh nes,250,23,786745.0,6,131124.16666666666
Cereals nes,190,24,14796.0,1,14796.0
Kapok fruit,110,26,114897.0,4,28724.25
Cucumbers and gherkins,40,16,2898345.0,9,322038.3333333333
Watermelons,110,19,1005632.0,6,167605.33333333334
Safflower seed,30,3,60580.0,8,7572.5
Cashew nuts with shell,10,28,4000.0,1,4000.0
Cereals nes,30,21,183749.0,8,22968.625
Plums and sloes,80,1,384003.0,9,42667.0
Sweet potatoes,90,11,354711.0,2,177355.5
Nuts nes,90,11,569337.0,3,189779.0
Canary seed,70,7,10685.0,1,10685.0
Grapes,90,4,37832.0,1,37832.0
Jute,100,19,49111.0,3,16370.333333333334
Fruit tropical fresh nes,120,19,525774.0,6,87629.0
Cinnamon cannella,200,26,17810.0,3,5936.666666666667
Pulses nes,210,27,6000.0,1,6000.0
Nutmeg mace and cardamoms,40,24,17904.0,6,2984.0
Grapes,90,25,118750.0,1,118750.0
Groundnuts with shell,30,10,58793.0,5,11758.6
Fibre Crops Primary,40,18,40108.0,7,5729.714285714285
Treenuts Total,100,7,33028.0,2,16514.0
Millet,130,28,10228.0,1,10228.0
Eggplants aubergines,80,7,801700.0,5,160340.0
Treenuts Total,200,23,89384.0,2,44692.0
Cereals nes,10,1,10709.0,3,3569.6666666666665
Vegetables Primary,10,1,295399.0,3,98466.33333333333
Lentils,120,19,53887.0,7,7698.142857142857
Lemons and limes,120,19,794082.0,7,113440.28571428571
Cloves,220,24,2500.0,1,2500.0
Tea,220,24,64321.0,9,7146.777777777777
Spices nes,140,20,27692.0,1,27692.0
Rapeseed,20,3,16640.0,2,8320.0
Fruit citrus nes,120,10,186107.0,3,62035.666666666664
Oilcrops,120,10,99725.0,6,16620.833333333332
Oilcrops Oil Equivalent,20,4,4377.0,3,1459.0
Bastfibres other,220,26,89568.0,7,12795.42857142857
Vegetables fresh nes,290,28,147429.0,2,73714.5
Cucumbers and gherkins,50,18,410448.0,1,410448.0
Coarse Grain Total,0,20,14840.0,2,7420.0
Treenuts Total,10,5,32987.0,1,32987.0
Cashew nuts with shell,100,24,1722.0,1,1722.0
