agricultrendsyieldregression.country,agricultrendsyieldregression.crop,agricultrendsyieldregression.coefficient1,agricultrendsyieldregression.coefficient2,agricultrendsyieldregression.intercept,agricultrendsyieldregression.mse
Portugal,Quinces,192.72252444196445,43.01180794043657,2.767422113859837,3.255212603431573E9
El Salvador,Rice paddy,189.22695937945238,32.17856114703559,1.27680487538295,4.6651652277494144E8
Thailand,Oranges,680.1578107798015,129.0182996882441,4.8999711098583125,4.427032224544565E9
Republic of Korea,Apples,503.3557772498421,50.118068282219234,4.2970534663185544,4.789268543227309E9
Guinea,Melons other inc.cantaloupes,241.94968613582188,45.13319714031956,1.7222346421723782,4.365962580699431E9
Cyprus,Vegetables Primary,423.7217041437057,214.0082461961301,11.187427250137013,5.753854641126694E10
Denmark,Cereals Rice Milled Eqv,123.82843444697654,17.653524057814575,2.158651108649036,1.8838577483421721E9
Libya,Lentils,0.08297415404579364,0.5022495164103321,0.02299375508625694,1.7978247422494438E7
Maldives,Areca nuts,28.095493245938012,4.676575463654743,0.1658129408958946,1.2811035875179466E7
Japan,Sorghum,11.293934740034874,0.907844918121875,0.08011232641812112,1.0508969838121504E8
Philippines,Cereals Rice Milled Eqv,64.49188582369261,8.20644092559951,0.31322558115245597,3.1299423238996394E7
Netherlands,Fibre Crops Primary,125.2304193396515,18.99587927682888,1.9047485599443814,2.0989651130135775E9
Austria,Lettuce and chicory,1068.5210930499416,76.56942379449913,11.330077192622857,3.92618602306366E10
Russian Federation,Peas green,27.929180328617782,-4.35487209156482,0.7963545569046245,1.768973651047853E9
Albania,Tobacco unmanufactured,27.416815809457024,3.996519615302445,0.34496073112213577,4.6649126266652755E7
Albania,Okra,136.06207231863124,20.797642521995908,1.7479539711674252,6.42991897782092E9
Jordan,Melons other inc.cantaloupes,64.84376520634389,151.64383294640965,7.878054267685625,4.1871649732200714E10
Guatemala,Lettuce and chicory,823.4079054236499,93.75562506658058,3.8905480214166177,8.231332703502335E9
C�te d'Ivoire,Groundnuts with shell,31.961664123705113,7.336900978568226,0.2777872358152106,2.0086833269821886E7
Croatia,Walnuts with shell,12.200894494908935,1.661752458459704,0.1414246897337335,5.573983967905636E7
South Africa,Mangoes mangosteens guavas,166.15082064884754,79.3632575937406,4.371493419932427,8.773201646438236E9
Grenada,Cucumbers and gherkins,260.5084934451877,54.947557038247844,2.0328223193936195,4.0972557090520697E9
Romania,Vegetables leguminous nes,8.03489163842167,1.673772215554602,0.15822293472945617,1.199352699621745E9
Norway,Rye,120.5272833490253,1.8043713084295556,1.3887771984068955,6.630405042690054E8
Ethiopia,Fruit tropical fresh nes,67.12532156141343,26.17608731150253,1.1089180146272455,4.2899942393785224E9
Suriname,Oil palm fruit,122.68699388022891,17.00629888127072,0.6578621341331748,6.447642604574337E8
Hungary,Cow peas dry,2.3938013714249333,0.5142277815595804,0.046581842940282836,1.0450635164343497E8
Netherlands,Coarse Grain Total,151.65375726000437,22.850398343937155,2.311103308627678,2.1309775323969343E9
Cuba,Bastfibres other,88.94012876097457,20.02926035018607,0.7832176899957349,4.3963809221305144E8
Switzerland,Lettuce and chicory,918.589927774762,44.251580081008726,7.360628569856816,1.2797638842173738E10
Singapore,Fruit Primary,204.32889364236473,31.43093776980581,1.1730805420851078,5.61587938057526E8
Panama,Coffee green,13.846510615976767,1.5983558735770969,0.0625078967688036,1316435.2443996647
Angola,Sorghum,2.7864161028037557,0.7398997714510062,0.03358009855568845,8301791.643226635
Saint Vincent and the Grenadines,Maize,220.65310883714005,47.920221454230294,1.7445733129374426,2.7273301973834124E9
Ethiopia,Safflower seed,7.4114027419152775,2.907711961852694,0.12293939889581001,4.802090903332035E7
Uzbekistan,Rye,11.379086737198199,8.478815211441212,0.6575996117374316,1.6406711446520357E9
Armenia,Apricots,39.34867787313439,8.104633011124587,0.977645926691829,3.991809592165247E9
Belgium,Flax fibre and tow,17.20016789805604,2.403987840140953,0.2309192288746508,7.012121777668782E8
Japan,Vegetables Primary,1142.4396241236836,97.20039234461893,8.328765776534095,1.2809407551123331E10
Slovakia,Fruit Primary,61.728412810104516,8.548383597199987,1.0169029089640298,2.9689865358874884E9
Comoros,Taro cocoyam,157.99842275961365,29.183037690343156,1.1399125709577016,1.9490716199066694E9
Malta,Figs,19.687349525293325,11.917105656385983,0.6165151053986828,7.291058246495874E8
Kenya,Rice paddy,96.00146102492312,42.88953829068824,1.7418527655550569,1.2533802356986852E9
Greece,Millet,23.074236585244627,6.653068394874734,0.4430380731191547,1.991210105849157E8
Azerbaijan,Tobacco unmanufactured,14.542691338556178,4.917677367832512,0.42257040412978725,4.964623392897914E8
Lebanon,Oilcrops,38.02031717062749,12.32756518492025,0.761177408219719,2.753103733128822E8
Tajikistan,Rye,8.177343115708187,1.03372967215007,0.2187648675665336,1.449649810909662E8
Uganda,Pepper piper spp.,22.711118958665907,5.355056971683583,0.23162145326759478,1.8772120992490407E7
Niger,Okra,8.041123744314019,14.84414562671624,0.5353058662991683,7.670682490131726E8
